event_time,event_mag,station,phase,pn_time,confidence,matched,residual
2020-05-15 11:18:14.480,4.54,CMB,P,2020-05-15 11:18:47.654537,0.5860106,False,
2020-05-15 11:18:14.480,4.54,KARE,S,2020-05-15 11:18:24.780000,0.35604268,False,
2020-05-15 11:18:14.480,4.54,KARE,P,2020-05-15 11:18:49.020000,0.8897384,False,
2020-05-15 11:18:14.480,4.54,KCC,P,2020-05-15 11:18:38.014538,0.703405,False,
2020-05-15 11:18:14.480,4.54,KCC,S,2020-05-15 11:18:55.784538,0.58519316,False,
2020-05-15 11:18:14.480,4.54,LIND,S,2020-05-15 11:18:25.100000,0.37578398,False,
2020-05-15 11:18:14.480,4.54,LIND,P,2020-05-15 11:18:49.470000,0.7070337,True,0.04
2020-05-15 11:18:14.480,4.54,OVRO,P,2020-05-15 11:18:31.176860,0.82470155,False,
2020-05-15 11:18:14.480,4.54,OVRO,S,2020-05-15 11:18:44.916860,0.33864248,False,
2023-09-19 04:13:10.380,4.53,AASB,P,2023-09-19 04:13:27.724200,0.79870784,True,0.0842
2023-09-19 04:13:10.380,4.53,AASB,S,2023-09-19 04:13:41.254200,0.57105815,False,
2023-09-19 04:13:10.380,4.53,ADAM,P,2023-09-19 04:13:36.084201,0.58168554,True,0.104201
2023-09-19 04:13:10.380,4.53,ALVW,P,2023-09-19 04:13:24.564200,0.8584802,True,0.0242
2023-09-19 04:13:10.380,4.53,ALVW,S,2023-09-19 04:13:26.594200,0.49453825,False,
2023-09-19 04:13:10.380,4.53,BKS,P,2023-09-19 04:13:26.824539,0.5677213,True,-0.265461
2023-09-19 04:13:10.380,4.53,BKS,S,2023-09-19 04:13:40.304539,0.39239582,False,
2023-09-19 04:13:10.380,4.53,BLUE,P,2023-09-19 04:13:30.954199,0.7749548,True,0.084199
2023-09-19 04:13:10.380,4.53,BLUE,S,2023-09-19 04:13:46.204199,0.39672825,False,
2020-05-15 11:52:06.890,4.5,CMB,S,2020-05-15 11:52:14.404536,0.5209252,False,
2020-05-15 11:52:06.890,4.5,CMB,P,2020-05-15 11:52:42.114536,0.82437843,True,-0.005464
2020-05-15 11:52:06.890,4.5,CMB,S,2020-05-15 11:53:06.524536,0.5400945,False,
2020-05-15 11:52:06.890,4.5,KARE,S,2020-05-15 11:52:16.780000,0.37369967,False,
2020-05-15 11:52:06.890,4.5,KARE,P,2020-05-15 11:52:41.320000,0.63396525,True,-0.03
2020-05-15 11:52:06.890,4.5,KCC,P,2020-05-15 11:52:32.064537,0.7530626,True,0.034537
2020-05-15 11:52:06.890,4.5,KCC,S,2020-05-15 11:52:49.714537,0.59728295,False,
2020-05-15 11:52:06.890,4.5,LIND,P,2020-05-15 11:52:41.790000,0.7353052,True,0.09
2020-05-15 11:52:06.890,4.5,LIND,S,2020-05-15 11:52:43.800000,0.35677034,False,
2020-05-15 11:52:06.890,4.5,LIND,S,2020-05-15 11:53:09.720000,0.38190308,False,
2020-05-15 11:52:06.890,4.5,OVRO,P,2020-05-15 11:52:25.446859,0.92866933,True,0.016859
2020-05-15 11:52:06.890,4.5,OVRO,S,2020-05-15 11:52:38.986859,0.6177367,False,
2023-06-03 12:01:18.960,4.45,AASB,P,2023-06-03 12:01:42.099200,0.62100315,True,0.1492
2023-06-03 12:01:18.960,4.45,ADAM,P,2023-06-03 12:01:26.119200,0.5387686,True,0.0392
2023-06-03 12:01:18.960,4.45,AONC,P,2023-06-03 12:01:44.341860,0.46756506,True,-0.13814
2023-06-03 12:01:18.960,4.45,BCCR,P,2023-06-03 12:01:44.049200,0.45765215,False,
2022-08-08 20:44:14.110,4.45,AASB,P,2022-08-08 20:44:38.429200,0.88730323,True,0.0192
2022-08-08 20:44:14.110,4.45,AASB,S,2022-08-08 20:44:56.319200,0.32901573,False,
2022-08-08 20:44:14.110,4.45,BLUE,P,2022-08-08 20:44:28.209200,0.91589934,True,0.0292
2022-08-08 20:44:14.110,4.45,BLUE,S,2022-08-08 20:44:38.319200,0.5323976,False,
2022-08-08 20:44:14.110,4.45,BUCR,P,2022-08-08 20:44:33.675000,0.9163347,True,0.045
2022-08-08 20:44:14.110,4.45,BUCR,S,2022-08-08 20:44:47.545000,0.7539428,False,
2022-08-08 20:44:14.110,4.45,CGRV,P,2022-08-08 20:44:47.619199,0.8123622,False,
2022-08-08 20:44:14.110,4.45,CGRV,P,2022-08-08 20:45:13.489199,0.7432313,False,
2022-08-08 20:44:14.110,4.45,CMB,P,2022-08-08 20:44:31.029538,0.9473475,True,0.009538
2022-08-08 20:44:14.110,4.45,CMB,S,2022-08-08 20:44:43.099538,0.5831529,False,
2022-08-08 20:44:14.110,4.45,DRDG,P,2022-08-08 20:44:25.149200,0.94532835,True,0.0292
2022-08-08 20:44:14.110,4.45,DRDG,S,2022-08-08 20:44:33.149200,0.7792684,False,
2022-08-08 20:44:14.110,4.45,HELL,P,2022-08-08 20:44:48.529201,0.92660934,True,0.049201
2022-08-08 20:44:14.110,4.45,HELL,P,2022-08-08 20:45:14.229201,0.621313,False,
2022-08-08 20:44:14.110,4.45,JEPS,P,2022-08-08 20:44:49.305000,0.6330718,True,0.235
2022-08-08 20:44:14.110,4.45,JEPS,S,2022-08-08 20:45:16.055000,0.42399868,False,
2023-04-12 05:39:51.750,4.43,AASB,P,2023-04-12 05:40:15.604199,0.7106341,True,0.074199
2023-04-12 05:39:51.750,4.43,ADAM,P,2023-04-12 05:39:59.664200,0.42339975,True,0.0442
2023-04-12 05:39:51.750,4.43,BCCR,P,2023-04-12 05:40:14.964199,0.48787338,True,0.314199
